commission,role,name,source
Aerospace & Defence,Commissioner,Michela Miglio,website
Aerospace & Defence,Fellow,Aleksandra Grbović Bitić,website
Aerospace & Defence,Fellow,Aleksandra Grbović Bitić,website
Aerospace & Defence,Fellow,Aleksandra Grbović Bitić,website
Aerospace & Defence,Fellow,Giacomo Bortolazzi,website
Aerospace & Defence,Fellow,Aleksandra Grbović Bitić,website
Aerospace & Defence,Fellow,Aleksandra Grbović Bitić,website
Aerospace & Defence,Fellow,Marie Helene Olafsen,website
Aerospace & Defence,Fellow,Aleksandra Grbović Bitić,website
Aerospace & Defence,Fellow,Marie Helene Olafsen,website
Aerospace & Defence,Fellow,Adam Hermann,website
Aerospace & Defence,Fellow,Matteo Minafra,website
Aerospace & Defence,Fellow,Marie Helene Olafsen,website
Aerospace & Defence,Fellow,Matteo Minafra,website
Aerospace & Defence,Fellow,Matteo Minafra,website
Aerospace & Defence,Fellow,Matteo Minafra,website
Aerospace & Defence,Fellow,Natalya Hoare,website
Aerospace & Defence,Fellow,Matteo Minafra,website
Aerospace & Defence,Fellow,Matteo Minafra,website
Aerospace & Defence,Fellow,Miguel Daza Céspedes,website
Aerospace & Defence,Fellow,Miguel Daza Céspedes,website
Aerospace & Defence,Fellow,Miguel Daza Céspedes,website
Aerospace & Defence,Fellow,Nigel Pang,website
Aerospace & Defence,Fellow,Miguel Daza Céspedes,website
Aerospace & Defence,Fellow,Miguel Daza Céspedes,website
Aerospace & Defence,Fellow,Ines Bellumore,website
Aerospace & Defence,Fellow,Miguel Daza Céspedes,website
Aerospace & Defence,Fellow,Ines Bellumore,website
Climate Change,Commissioner,Rocco Ramadori,website
Climate Change,Fellow,Andrea Seet,website
Climate Change,Fellow,Ana Maria Lopes,website
Climate Change,Fellow,Ana Maria Lopes,website
Climate Change,Fellow,Ana Maria Lopes,website
Climate Change,Fellow,Ana Maria Lopes,website
Climate Change,Fellow,Ana Maria Lopes,website
Climate Change,Fellow,Rafael Valente,website
Climate Change,Fellow,Ana Maria Lopes,website
Climate Change,Fellow,Federica Marini,website
Climate Change,Fellow,Federica Marini,website
Climate Change,Fellow,Alexander Martin,website
Climate Change,Fellow,Federica Marini,website
Climate Change,Fellow,Lucas Lestido,website
Climate Change,Fellow,Alexander Martin,website
Climate Change,Fellow,Alexander Martin,website
Climate Change,Fellow,Alexander Martin,website
Climate Change,Fellow,Alexander Martin,website
Climate Change,Fellow,Alexander Martin,website
Economic Affairs,Commissioner,Ginevra Savarè,website
Economic Affairs,Fellow,Margot Padilla,website
Economic Affairs,Fellow,Naveen Sivakumar,website
Economic Affairs,Fellow,Margot Padilla,website
Economic Affairs,Fellow,Ginevra Savarè,website
Economic Affairs,Fellow,Naveen Sivakumar,website
Economic Affairs,Fellow,Margot Padilla,website
Economic Affairs,Fellow,Naveen Sivakumar,website
Economic Affairs,Fellow,Naveen Sivakumar,website
Economic Affairs,Fellow,Naveen Sivakumar,website
Economic Affairs,Fellow,Maria Yankova,website
Economic Affairs,Fellow,Angelica Bareggi,website
Economic Affairs,Fellow,Naveen Sivakumar,website
Economic Affairs,Fellow,Maria Dimitrova,website
Economic Affairs,Fellow,Angelica Bareggi,website
Economic Affairs,Fellow,Angelica Bareggi,website
Economic Affairs,Fellow,Angelica Bareggi,website
Economic Affairs,Fellow,Angelica Bareggi,website
Economic Affairs,Fellow,Angelica Bareggi,website
Economic Affairs,Fellow,Riccardo Mencarelli,website
Economic Affairs,Fellow,Riccardo Mencarelli,website
Economic Affairs,Fellow,Riccardo Mencarelli,website
Economic Affairs,Fellow,Francesco Sottero,website
Economic Affairs,Fellow,Riccardo Mencarelli,website
Economic Affairs,Fellow,Riccardo Mencarelli,website
Economic Affairs,Fellow,Silvia Dipalma,website
Economic Affairs,Fellow,Riccardo Mencarelli,website
Economic Affairs,Fellow,Giovanni Della Rocca,website
Economic Affairs,Fellow,Giovanni Della Rocca,website
Economic Affairs,Fellow,Giovanni Della Rocca,website
Economic Affairs,Fellow,Giovanni Della Rocca,website
Economic Affairs,Fellow,Conor Shields,website
Economic Affairs,Fellow,Giovanni Della Rocca,website
Economic Affairs,Fellow,Conor Shields,website
Energy,Commissioner,Amedeo Ceccato,website
Energy,Fellow,Arnau-Miguel Rodriguez Suàrez,website
Energy,Fellow,Arnau-Miguel Rodriguez Suàrez,website
Energy,Fellow,Arnau-Miguel Rodriguez Suàrez,website
Energy,Fellow,Rodolph AlMallah,website
Energy,Fellow,Arnau-Miguel Rodriguez Suàrez,website
Energy,Fellow,Arnau-Miguel Rodriguez Suàrez,website
Energy,Fellow,Marilyn Mabel Gilbert,website
